"province_name","location","year","week","disease_cases","weekly_diarrhea_cases","population","rainfall","mean_temperature","max_temperature","min_temperature","rainsum_std"
"01 Vientiane Capital",1,2024,14,15,140,1009287,0,31.7285714285714,38.3428571428571,25.0571428571429,-0.66477514015161
"01 Vientiane Capital",1,2024,15,13,132,1009287,0,32.8857142857143,38.0428571428571,27.7,-0.66477514015161
"01 Vientiane Capital",1,2024,16,23,143,1009287,8.1,33.4714285714286,39.0285714285714,27.8428571428571,-0.478874824658991
"01 Vientiane Capital",1,2024,17,33,160,1009287,1.5,31.8571428571429,37.4714285714286,26.2,-0.630349155801125
"01 Vientiane Capital",1,2024,18,23,185,1009287,0,32.1571428571429,37.1714285714286,27.1285714285714,-0.66477514015161
"01 Vientiane Capital",1,2024,19,26,162,1009287,7,32.7285714285714,38.0142857142857,27.4,-0.504120546516013
"01 Vientiane Capital",1,2024,20,24,117,1009287,117.3,30.2714285714286,34.4142857142857,26.0714285714286,2.02733683605632
"01 Vientiane Capital",1,2024,21,28,153,1009287,2.2,32.2571428571429,37.6857142857143,26.8,-0.614283696437565
"01 Vientiane Capital",1,2024,22,31,126,1009287,10.7,30.8142857142857,35.4428571428571,26.1,-0.419203118451483
"01 Vientiane Capital",1,2024,23,46,167,1009287,41.5,29.8857142857143,34.5571428571429,25.1428571428571,0.287677093545144
"01 Vientiane Capital",1,2024,24,58,156,1009287,60.8,29.5285714285714,33.2285714285714,25.7714285714286,0.730624758854718
"01 Vientiane Capital",1,2024,25,82,188,1009287,40.2,29.3571428571429,33.1571428571429,25.4714285714286,0.25784124044139
"01 Vientiane Capital",1,2024,26,115,169,1009287,116.4,29.3857142857143,33.4285714285714,25.3,2.00668124544603
"01 Vientiane Capital",1,2024,27,201,188,1009287,101.8,29.3,33.4857142857143,25.0571428571429,1.67160166443464
"01 Vientiane Capital",1,2024,28,243,162,1009287,27.8,30.4714285714286,34.7571428571429,26.1428571428571,-0.0267468968559534
"01 Vientiane Capital",1,2024,29,297,128,1009287,55.3,29.7428571428571,33.8571428571429,25.5571428571429,0.604396149569606
"01 Vientiane Capital",1,2024,30,349,94,1009287,27.4,30.1571428571429,34.7571428571429,25.5142857142857,-0.0359271593494161
"01 Vientiane Capital",1,2024,31,328,104,1009287,149.7,27.6428571428571,29.9857142857143,25.2428571428571,2.7709380980268
"01 Vientiane Capital",1,2024,32,300,75,1009287,61.5,27.0285714285714,29.3571428571429,24.6714285714286,0.746690218218278
